Wall time,Step,a,b,c,d
1622678114,500,67.7587738,66.06945038,71.80146027,80.9496994
1622678116,1000,78.19332123,83.85641479,82.33623505,89.31278229
1622678118,1500,82.73298645,87.09724426,86.45826721,91.12531281
1622678119,2000,85.77752686,89.79724121,88.5464325,91.70373535
1622678121,2500,87.68610382,91.25268555,90.22949219,93.12577057
1622678123,3000,89.02044678,91.86869812,90.52809906,93.16962433
1622678125,3500,89.77844238,92.3615036,90.99793243,93.65198517
1622678126,4000,90.64920807,93.01718903,92.15268707,93.97356415
1622678128,4500,90.59282684,92.69351959,91.99816132,93.66869354
1622678130,5000,91.3466568,93.31370544,92.64131927,94.36405182
1622678132,5500,91.44897461,92.60163879,92.21742249,93.71672058
1622678134,6000,92.46173096,93.60395813,92.95871735,94.66056824
1622678135,6500,92.66220093,93.64781189,93.3763504,94.34525299
1622678137,7000,92.83551788,93.73969269,93.57263947,94.33898926
1622678139,7500,93.06729889,93.82530212,93.78145599,94.32855225
1622678140,8000,93.25106049,93.72715759,93.80442047,94.4287796
1622678142,8500,93.73551178,94.18238068,94.25546265,94.80883026
1622678144,9000,93.34085083,94.013237,94.06335449,94.60836792
1622678147,9500,94.19908905,94.43505096,94.7232132,95.20558167
1622678149,10000,93.73969269,94.00906372,94.04873657,94.48098755
1622678150,10500,94.04038239,94.1656723,94.41207886,94.86312103
1622678152,11000,94.18029022,94.18238068,94.58956909,94.45384216
1622678154,11500,94.42251587,94.64595032,94.77542114,95.08237457
1622678156,12000,94.68354034,94.27217102,94.95708466,95.33504486
1622678158,12500,94.66056824,94.77959442,94.75871277,95.05522919
1622678159,13000,94.84014893,94.88817596,95.04061127,95.51254272
1622678161,13500,94.21788025,94.41625214,94.49351501,94.83179474
1622678162,14000,94.76706696,94.69606781,94.84432983,95.2911911
1622678164,14500,94.38284302,94.40163422,94.43713379,94.93412018
1622678166,15000,94.90488434,95.17843628,95.18678284,95.55012512
1622678167,15500,94.65847778,94.48098755,94.65013123,94.89653015
1622678169,16000,94.61463165,94.62506866,94.66474915,94.936203
1622678171,16500,94.65013123,94.49769592,94.73156738,94.936203
1622678172,17000,94.63551331,94.39537048,94.69815826,95.15755463
1622678174,17500,95.18678284,94.90488434,95.27030945,95.50627136
1622678176,18000,94.68980408,94.56242371,94.74827576,94.99258423
1622678179,18500,95.20140076,95.21393585,95.34339905,95.7004776
1622678181,19000,94.65639496,94.51230621,94.69606781,94.94038391
1622678183,19500,94.75871277,94.80673981,95.00511932,95.21393585
1622678185,20000,94.90697479,94.57913208,95.14293671,95.18470001
1622678188,20500,94.91950226,95.00720215,95.22019958,95.39978027
1622678191,21000,95.32460785,95.11787415,95.42692566,95.67959595
1622678193,21500,95.07611084,94.94247437,95.23690033,95.25987244
1622678195,22000,95.27866364,95.38933563,95.58145142,95.75267792
1622678197,22500,94.85267639,94.8380661,95.08655548,95.20349121
1622678199,23000,94.97379303,95.0594101,95.06358337,95.3454895
1622678200,23500,94.7649765,94.75662231,94.94247437,95.11161041
1622678202,24000,95.22437286,95.44989777,95.56265259,95.8111496
1622678204,24500,94.936203,94.82135773,95.00511932,95.2536087
1622678206,25000,94.75244904,94.69397736,94.90071106,95.02391052
1622678208,25500,94.81300354,94.64177704,94.86729431,95.07611084
1622678210,26000,94.8568573,94.82135773,95.0092926,95.24316406
1622678212,26500,95.26196289,95.18470001,95.39768982,95.63574219
1622678215,27000,94.89026642,94.72530365,94.90697479,95.09490967
1622678219,27500,95.26404572,95.41857147,95.40604401,95.70882416
1622678221,28000,94.71485901,94.75662231,94.7837677,95.13249207
1622678223,28500,94.91323853,95.13040924,95.07611084,95.24108124
1622678224,29000,95.11787415,94.8944397,95.25987244,95.42483521
1622678226,29500,95.05731964,95.17425537,95.15963745,95.50627136
1622678228,30000,95.41021729,95.50627136,95.52924347,95.83620453
1622678229,30500,95.20558167,95.15963745,95.18678284,95.50000763
1622678231,31000,95.4018631,95.47286224,95.49166107,95.89467621
1622678233,31500,94.936203,95.13249207,95.05522919,95.28910828
1622678234,32000,94.97796631,95.19931793,95.14293671,95.4979248
1622678236,32500,94.704422,94.84850311,94.91950226,95.09490967
1622678238,33000,95.26196289,95.46659851,95.4436264,95.75267792
1622678239,33500,94.88400269,94.87147522,94.99884796,95.27658081
1622678241,34000,94.6856308,94.87982941,94.93412018,95.14710999
1622678243,34500,94.81509399,94.86729431,94.90488434,95.19722748
1622678245,35000,94.96126556,95.01555634,95.15546417,95.34130859
1622678247,35500,95.23272705,95.36637115,95.55012512,95.6085968
1622678248,36000,94.82971191,94.99676514,95.0280838,95.27449036
1622678252,36500,95.15755463,95.54386139,95.46659851,95.7568512
1622678253,37000,94.7273941,94.95082092,94.88191223,95.15337372
1622678255,37500,94.77750397,95.24525452,95.06358337,95.3225174
1622678257,38000,95.09281921,95.14084625,95.34339905,95.55847931
1622678258,38500,94.92785645,95.33921814,95.23272705,95.50418854
1622678260,39000,95.30580902,95.48538971,95.55638885,95.85082245
1622678262,39500,95.13458252,95.2118454,95.34757233,95.46868896
1622678263,40000,95.34966278,95.57936096,95.40604401,95.86752319
1622678265,40500,94.88609314,95.11161041,95.19096375,95.33921814
1622678266,41000,95.12831879,95.25778198,95.20558167,95.52507019
1622678268,41500,94.70859528,95.01138306,94.8568573,95.2118454
1622678270,42000,95.17634583,95.53342438,95.48748016,95.79444122
1622678271,42500,94.89026642,94.95500183,95.07402802,95.30163574
1622678273,43000,94.65221405,95.01138306,94.93829346,95.13249207
1622678275,43500,94.7649765,94.87147522,94.94247437,95.10952759
1622678277,44000,94.91950226,95.1199646,95.15129089,95.41439819
1622678278,44500,95.19931793,95.52715302,95.48748016,95.7192688
1622678280,45000,94.85059357,94.90488434,94.99258423,95.2536087
